aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name,display_name,search_method
"","Jawa Barat","Subang","Sagalaherang","Sagalaherang, Subang, Jawa Barat, Jawa, 41282, Indonesia",""
"","Jawa Timur","Bojonegoro","Baureno","Baureno, Bojonegoro, Jawa Timur, Jawa, Indonesia",""
"","Jawa Barat","Cirebon Kota","Lemahwungkuk","Lemahwungkuk, Kota Cirebon, Jawa Barat, Jawa, Indonesia",""
"","Banten","Pandeglang","Cigeulis","Cigeulis, Pandeglang, Banten, Jawa, Indonesia",""
"Bandung Raya","Jawa Barat","Cimahi","","Cimahi, Jawa Barat, Jawa, Indonesia",""
"","Sumatera Utara","Simalungun","Dolok Pardamean","Dolok Saribu, Simalungun, Sumatera Utara, Sumatera, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta","Penjaringan","Penjaringan, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Lampung","Pesisir Barat","Pesisir Selatan","KSR PMI Kabupaten Pesisir Barat, Jalan Raya Krui Bintuhan, Pesisir Barat, Lampung, Sumatera, Indonesia","without_Selatan"
"","Jawa Timur","Mojokerto","Prajurit Kulon","Prajurit Kulon, Kota Mojokerto, Jawa Timur, Jawa, 61328, Indonesia",""
"JABODETABEK","Jawa Barat","Bogor","Bojong Gede","Bojong Gede, Bojonggede, Kab Bogor, Jawa Barat, Jawa, 16923, Indonesia",""
"","Kalimantan Timur","Kutai Barat","Nyuatan","Sungai Nyuatan, Kutai Barat, Kalimantan Timur, Indonesia",""
"","Sulawesi Barat","Majene","Banggae Timur","Banggae, Majene, Sulawesi Barat, Sulawesi, 91412, Indonesia","without_Timur"
"","Banten","Tangerang Selatan","Serpong Utara","Serpong Utara, Tangerang Selatan, Banten, Jawa, Indonesia",""
"","Jawa Timur","Malang Kabupaten","Gedangan","Gedangan, Kabupaten Malang, Jawa Timur, Jawa, 65176, Indonesia",""
"","Jawa Timur","Sidoarjo","Prambon","Prambon, Sidoarjo, Jawa Timur, Jawa, 61264, Indonesia",""
"","Daerah Istimewa Yogyakarta","Yogyakarta","Pakualaman","Pura Pakualaman, Gunung ketur, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Jawa, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta Timur","Matraman","Matraman, Jakarta Timur, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Banten","Tangerang Kota","Larangan","Larangan, Tangerang, Banten, Jawa, Indonesia",""
"","Riau","Pekanbaru","Bukit Raya","Bukit Raya, Pekanbaru, Riau, Sumatera, Indonesia",""
"","Riau","Pekanbaru","Sukajadi","Sukajadi, Pekanbaru, Riau, Sumatera, Indonesia",""
"","Sumatera Utara","Deli Serdang","Galang","Galang, Deli Serdang, Sumatera Utara, Sumatera, Indonesia",""
"","Sumatera Utara","Labuhanbatu","Rantau Utara","Rantau Prapat, Labuhanbatu, Sumatera Utara, Sumatera, 21411, Indonesia",""
"","Jawa Barat","Karawang","Tegalwaru","Tegalwaru, Karawang, Jawa Barat, Jawa, 41384, Indonesia",""
"","Jawa Tengah","Tegal Kabupaten","Lebaksiu","Lebaksiu, Tegal, Jawa Tengah, Jawa, 52461, Indonesia",""
"","Jawa Timur","Lumajang","Padang","Padang, Lumajang, Jawa Timur, Jawa, 67352, Indonesia",""
"","Jawa Barat","Cirebon Kabupaten","Gunungjati","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Gunungjati%2C+Cirebon+Kabupaten%2C+Jawa+Barat","not_found"
"JABODETABEK","DKI Jakarta","Jakarta","Tanjung Priok","Tanjung Priok, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta","Kembangan","Kembangan, Jakarta Barat, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Jawa Tengah","Grobogan","Grobogan","Grobogan, Jawa Tengah, Jawa, 58152, Indonesia",""
"","Jawa Tengah","Pati","Juwana","Juwana, Pati, Jawa Tengah, Jawa, 59185, Indonesia",""
